id,addr,port,identity,created,modify,lastbackup,sleeptime
105,10.50.1.20,256,k4-ale-649-br-dd5ac-759,2018-07-10 22:00:46,,2020-01-26 22:33:14,0
106,10.50.1.21,256,k4-ale-759-br-dd5ac-649,2018-07-10 22:01:12,,2020-01-26 22:33:16,0
107,10.50.1.69,256,k4-cio-453-br-wap60-466,2018-07-10 22:01:41,,2020-08-02 22:32:33,0
108,10.50.1.70,256,k4-sko-466-br-wap60-453,2018-07-10 22:02:04,,2020-08-02 22:32:35,0
109,10.51.1.114,256,k4-has-745-br-wap60-748,2018-07-10 22:02:43,,2020-08-02 22:32:37,0
110,10.51.1.115,256,k4-has-748-br-wap60-745,2018-07-10 22:03:21,,2020-08-02 22:32:39,0
111,10.51.1.76,256,k4-cio-728-br-wap60-731,2018-07-10 22:03:52,,2020-08-02 22:32:41,0
112,10.51.1.77,256,k4-les-731-br-wap60-728,2018-07-10 22:04:17,,2020-08-02 22:32:43,0
113,10.52.6.10,256,k4-str-355-ap-otk-0,2018-07-10 22:05:10,,,0
115,10.52.6.50,256,k4-mts-360-ap-otk-0,2018-07-10 22:06:02,,2020-08-02 22:33:06,0
116,10.52.1.5,256,k9-tes-427-ap-433-s12,2018-07-10 22:32:19,,2020-08-02 22:33:09,0
118,10.52.5.158,256,k4-vis-255-br-lhg-68,2018-07-10 22:38:54,,2020-06-15 22:33:19,0
120,10.52.5.5,256,k4-les-720-ap-433-s23,2018-07-10 22:39:52,,2020-08-02 22:33:15,0
121,10.52.5.6,256,k4-les-720-ap-922-s1,2018-07-10 22:40:16,,2020-08-02 22:33:18,0
122,10.52.5.28,256,k4-hri-251-st-433-0,2018-07-10 22:40:45,,2020-08-02 22:33:22,0
123,10.52.7.102,256,k9-pas-596-ap-otk-0,2018-07-10 22:41:46,,2020-08-02 22:33:25,0
127,10.80.1.42,256,k8-slo-2946-br-911ac-2953,2018-07-10 22:44:48,,2019-07-03 22:35:04,0
128,10.80.1.43,256,k8-csa-2953-br-911ac-2946,2018-07-10 22:45:24,,2019-07-03 22:35:06,0
129,10.80.5.4,256,k7-les-263-sw-960-0,2018-07-10 22:46:15,,2020-08-02 22:33:28,0
134,10.80.6.100,256,k8-slo-2946-ap-433-s12,2018-07-10 22:48:53,,2020-08-02 22:33:30,0
135,10.80.6.5,256,k8-csa-2953-ap-433-s123,2018-07-10 22:49:25,,2020-08-02 22:33:33,0
136,10.80.6.6,256,k8-csa-2953-ap-912-s2,2018-07-10 22:49:49,,2020-01-06 22:34:45,0
138,10.9.1.17,256,dou-346-ap-912-s2,2018-07-10 22:57:48,,2020-08-02 22:33:36,0
139,10.9.1.18,256,dou-346-ap-912-s3,2018-07-10 22:58:19,,2020-08-02 22:33:38,0
140,10.9.2.5,256,dou-135-sw-960-0,2018-07-10 22:58:49,,2020-08-02 22:33:40,0
141,10.9.1.27,256,dou-709-sw-750-0,2018-07-10 22:59:34,,2020-08-02 22:33:42,0
144,46.228.16.134,256,k6-17l-2417-rt-c1016-ospf,2018-07-10 23:20:36,,2020-08-02 22:33:46,0
145,10.9.1.16,256,dou-346-ap-912-s1,2018-07-10 23:21:52,,2020-08-02 22:33:49,0
147,10.20.2.102,256,k6-hav-1821-rt-2011-0,2018-07-10 23:40:06,,2020-08-02 22:33:51,0
148,46.228.16.142,256,k7-kop-2135-rt-c1009-ospf,2018-07-10 23:45:21,,2020-08-02 22:33:54,0
149,46.228.16.146,256,k4-cio-625-rt-c1016-ospf,2018-07-10 23:48:36,,2020-08-02 22:33:55,0
150,46.228.16.150,256,k8-ziz-2802-rt-c1016s-0,2018-07-10 23:49:12,,2020-08-02 22:33:59,0
152,46.228.16.158,256,k4-bor-157-rt-3011-ospf,2018-07-10 23:53:02,,2020-08-02 22:34:01,0
153,46.228.16.162,256,k6-zav-540-rt-c1016-ospf,2018-07-10 23:53:35,,2020-08-02 22:34:05,0
154,46.228.16.166,256,k8-ziz-2802-rt-c1009-ospf,2018-07-10 23:55:21,,2020-08-02 22:34:07,0
155,46.228.17.216,256,sto-skl-rt-493-0,2018-07-11 01:05:12,,2020-08-02 22:34:12,0
158,46.228.19.101,256,k1-mly-788-rt-433-lmss,2018-07-11 01:12:06,,2020-08-02 22:34:15,0
